"","time","S","E","I","R"
"846",9.45,115485115.065257,0.36313238600234,9.4619629917109,39.6505618919428
"847",9.46,115474267.789332,0.361120513977109,9.44697677205122,39.6617919276939
"848",9.47,115463421.59808,0.359120465373647,9.43200999457595,39.6729927604814
"849",9.48,115452576.491393,0.357132170640316,9.41706266159721,39.6841644553954
"850",9.49,115441732.469163,0.355155560634624,9.40213477521534,39.6953070773288
"851",9.5,115430889.531281,0.353190566620817,9.38722633732045,39.7064206909779
"852",9.51,115420047.677638,0.351237120267492,9.37233734959405,39.7175053608434
"853",9.52,115409206.908127,0.349295153645209,9.35746781351055,39.7285611512309
"854",9.53,115398367.222638,0.347364599224135,9.34261773033886,39.7395881262524
"855",9.54,115387528.621063,0.345445389871689,9.32778710114388,39.7505863498264
"856",9.55,115376691.103295,0.343537458850206,9.3129759267881,39.7615558856793
"857",9.56,115365854.669224,0.341640739814613,9.29818420793309,39.7724967973456
"858",9.57,115355019.318743,0.339755166810123,9.28341194504099,39.7834091481695
"859",9.58,115344185.051742,0.337880674269932,9.26865913837606,39.794293001305
"860",9.59,115333351.868114,0.336017197012945,9.25392578800616,39.8051484197172
"861",9.6,115322519.76775,0.334164670241502,9.23921189380422,39.8159754661826
"862",9.61,115311688.750542,0.332323029539122,9.22451745544975,39.8267742032906
"863",9.62,115300858.816381,0.330492210868263,9.20984247243026,39.8375446934435
"864",9.63,115290029.96516,0.328672150568095,9.19518694404276,39.848286998858
"865",9.64,115279202.19677,0.326862785352275,9.1805508693952,39.8590011815654
"866",9.65,115268375.511102,0.325064052306756,9.16593424740791,39.8696873034129
"867",9.66,115257549.908049,0.323275888887586,9.15133707681501,39.8803454260639
"868",9.67,115246725.387503,0.321498232918739,9.13675935616586,39.8909756109991
"869",9.68,115235901.949354,0.319731022589946,9.12220108382647,39.9015779195171
"870",9.69,115225079.593494,0.317974196454545,9.10766225798089,39.9121524127355
"871",9.7,115214258.319817,0.316227693427341,9.09314287663261,39.922699151591
"872",9.71,115203438.128212,0.314491452782483,9.07864293760595,39.9332181968407
"873",9.72,115192619.018573,0.312765414151345,9.06416243854746,39.943709609063
"874",9.73,115181800.99079,0.311049517520428,9.04970137692724,39.9541734486575
"875",9.74,115170984.044757,0.30934370322927,9.03525975004034,39.9646097758467
"876",9.75,115160168.180363,0.307647911968369,9.02083755500811,39.9750186506763
"877",9.76,115149353.397503,0.305962084777119,9.00643478877952,39.9854001330159
"878",9.77,115138539.696066,0.304286163041758,8.99205144813253,39.9957542825598
"879",9.78,115127727.075945,0.302620088493325,8.97768752967539,40.0060811588277
"880",9.79,115116915.537033,0.300963803205635,8.96334302984795,40.0163808211657
"881",9.8,115106105.07922,0.299317249593262,8.94901794492302,40.0266533287465
"882",9.81,115095295.702399,0.297680370409531,8.93471227100761,40.0368987405706
"883",9.82,115084487.406462,0.29605310874453,8.92042600404428,40.0471171154668
"884",9.83,115073680.1913,0.294435408023125,8.90615913981238,40.0573085120928
"885",9.84,115062874.056806,0.292827212002995,8.89191167392935,40.0674729889363
"886",9.85,115052069.002871,0.29122846477267,8.87768360185199,40.0776106043152
"887",9.86,115041265.029387,0.289639110749585,8.86347491887772,40.0877214163787
"888",9.87,115030462.136247,0.288059094678149,8.84928562014584,40.0978054831078
"889",9.88,115019660.323342,0.286488361627818,8.83511570063874,40.107862862316
"890",9.89,115008859.590565,0.284926856991184,8.8209651551832,40.1178936116502
"891",9.9,114998059.937807,0.283374526482073,8.80683397845157,40.127897788591
"892",9.91,114987261.36496,0.281831316133658,8.792722164963,40.1378754504537
"893",9.92,114976463.871916,0.280297172296578,8.77862970908468,40.147826654389
"894",9.93,114965667.458568,0.278772041637071,8.76455660503302,40.1577514573832
"895",9.94,114954872.124807,0.277255871135117,8.75050284687486,40.1676499162596
"896",9.95,114944077.870525,0.275748608082594,8.73646842852867,40.1775220876787
"897",9.96,114933284.695615,0.274250200081442,8.7224533437657,40.1873680281388
"898",9.97,114922492.599969,0.27276059504184,8.70845758621122,40.197187793977
"899",9.98,114911701.583478,0.27127974118039,8.69448114934561,40.2069814413696
"900",9.99,114900911.646035,0.269807587018318,8.6805240265056,40.2167490263328
"901",10,114890122.787531,0.268344081379681,8.66658621088536,40.2264906047236
"902",10.01,114879335.00786,0.266889173389582,8.65266769553768,40.2362062322399
"903",10.02,114868548.306912,0.265442812472406,8.63876847337512,40.2458959644218
"904",10.03,114857762.684581,0.264004948350052,8.62488853717111,40.2555598566516
"905",10.04,114846978.140758,0.262575531040189,8.6110278795611,40.2651979641552
"906",10.05,114836194.675336,0.261154510854511,8.59718649304367,40.2748103420018
"907",10.06,114825412.288206,0.259741838397012,8.58336436998164,40.2843970451055
"908",10.07,114814630.979261,0.258337464562263,8.56956150260317,40.293958128225
"909",10.08,114803850.748393,0.256941340533703,8.55577788300288,40.3034936459651
"910",10.09,114793071.595494,0.255553417781944,8.54201350314291,40.3130036527766
"911",10.1,114782293.520456,0.254173648063074,8.52826835485402,40.3224882029573
"912",10.11,114771516.523173,0.252801983416985,8.51454242983666,40.3319473506528
"913",10.12,114760740.603535,0.251438376165699,8.50083571966205,40.3413811498564
"914",10.13,114749965.761435,0.25008277891171,8.48714821577323,40.3507896544106
"915",10.14,114739191.996766,0.248735144536335,8.47347990948612,40.360172918007
"916",10.15,114728419.309419,0.24739542619807,8.45983079199057,40.3695309941871
"917",10.16,114717647.699287,0.246063577330965,8.44620085435141,40.3788639363434
"918",10.17,114706877.166262,0.244739551642998,8.43259008750948,40.388171797719
"919",10.18,114696107.710237,0.243423303114467,8.41899848228264,40.3974546314093
"920",10.19,114685339.331103,0.242114785996385,8.40542602936683,40.4067124903617
"921",10.2,114674572.028753,0.240813954808892,8.39187271933705,40.4159454273766
"922",10.21,114663805.80308,0.239520764339667,8.37833854264841,40.4251534951081
"923",10.22,114653040.653976,0.238235169642356,8.3648234896371,40.4343367460643
"924",10.23,114642276.581333,0.236957126035008,8.35132755052137,40.4434952326079
"925",10.24,114631513.585043,0.235686589098521,8.3378507154026,40.4526290069571
"926",10.25,114620751.664999,0.234423514675091,8.32439297426617,40.4617381211857
"927",10.26,114609990.821093,0.23316785886668,8.31095431698256,40.470822627224
"928",10.27,114599231.053218,0.231919578033485,8.29753473330822,40.4798825768595
"929",10.28,114588472.361266,0.23067862879242,8.28413421288659,40.4889180217368
"930",10.29,114577714.745129,0.229444968015605,8.27075274524904,40.4979290133591
"931",10.3,114566958.2047,0.228218552828865,8.25739031981583,40.5069156030878
